participant,stimulus,condition,Trial
1,12,A,19
1,15,B,16
1,3,C,7
1,6,D,1
2,3,A,5
2,4,B,9
2,12,C,11
2,13,D,17
3,17,A,4
3,19,B,10
3,2,C,17
3,12,D,15
4,20,A,17
4,5,B,18
4,13,C,4
4,8,D,6
5,14,A,11
5,11,B,18
5,1,C,4
5,6,D,2
6,12,A,15
6,2,B,19
6,17,C,5
6,3,D,2
7,14,A,1
7,10,B,5
7,12,C,14
7,4,D,20
8,11,A,6
8,15,B,9
8,12,C,18
8,4,D,16
9,8,A,19
9,3,B,13
9,9,C,5
9,13,D,6
10,11,A,5
10,5,B,2
10,7,C,20
10,1,D,19
11,19,A,16
11,6,B,11
11,11,C,3
11,13,D,9
12,16,A,3
12,15,B,4
12,10,C,20
12,19,D,16
13,9,A,20
13,13,B,11
13,15,C,10
13,16,D,5
14,13,A,7
14,20,B,8
14,11,C,16
14,8,D,19
15,16,A,14
15,7,B,18
15,11,C,6
15,6,D,5
16,15,A,17
16,8,B,15
16,6,C,8
16,5,D,3
17,8,A,13
17,15,B,14
17,13,C,4
17,3,D,9
18,5,A,3
18,11,B,7
18,19,C,18
18,14,D,13
19,19,A,9
19,13,B,6
19,15,C,12
19,3,D,18
20,19,A,1
20,8,B,3
20,15,C,16
20,13,D,11
21,17,A,18
21,7,B,12
21,8,C,6
21,12,D,3
22,3,A,11
22,2,B,13
22,7,C,6
22,1,D,4
23,18,A,9
23,10,B,3
23,15,C,18
23,7,D,14
24,4,A,10
24,1,B,3
24,8,C,19
24,10,D,14
25,11,A,4
25,9,B,2
25,13,C,14
25,20,D,11
26,14,A,14
26,12,B,20
26,16,C,2
26,19,D,7
27,1,A,14
27,11,B,11
27,4,C,7
27,7,D,8
28,20,A,12
28,14,B,15
28,5,C,6
28,1,D,10
29,4,A,9
29,5,B,4
29,14,C,11
29,7,D,13
30,12,A,3
30,19,B,10
30,9,C,12
30,2,D,17
31,18,A,9
31,14,B,4
31,3,C,12
31,11,D,14
32,5,A,16
32,8,B,18
32,7,C,3
32,4,D,7
33,6,A,17
33,3,B,20
33,13,C,5
33,18,D,1
34,18,A,7
34,8,B,1
34,5,C,14
34,19,D,11
35,15,A,4
35,5,B,10
35,3,C,16
35,20,D,13
36,16,A,9
36,20,B,6
36,19,C,20
36,4,D,16
37,4,A,16
37,11,B,19
37,20,C,9
37,9,D,4
38,5,A,15
38,19,B,17
38,12,C,9
38,9,D,7
39,18,A,7
39,16,B,1
39,13,C,17
39,15,D,12
40,15,A,11
40,10,B,17
40,1,C,6
40,14,D,4
